SOURCE_ID,TARGET_ID,EXP_TIME,RES_TIME
2183890,2469034,23.908600,27.758082
2183890,2291920,18.004893,19.247320
2183890,2123425,4.785310,7.157417
2183890,2689387,26.424690,29.059929
2183890,2494949,24.823628,26.921066
2183890,2754082,28.485326,30.328085
2183890,2965829,31.667074,33.591950
2183890,2201268,16.629933,26.576682
2183890,2555457,26.240605,28.960402
2183890,2408598,20.803134,23.648070
2183890,2080107,26.379145,30.957402
2183890,2248726,18.466010,18.356044
2183890,2672256,33.974367,38.504582
2183890,2304993,34.420394,40.547627
2183890,2218519,15.458914,23.448212
2183890,2192599,13.731731,21.680858
2183890,3095505,30.600420,34.333029
2183890,2486394,24.700206,26.231517
2183890,2607564,59.331811,57.355205
2183890,2326404,23.091727,24.572650
2183890,2335139,20.010975,22.381731
2183890,2451879,38.472784,44.024341
2183890,2326527,27.358719,30.208784
2183890,2788664,33.461347,33.333664
2183890,2758696,32.348258,37.086781
2183890,2378217,21.768511,29.694744
2183890,2343845,26.238280,35.818254
2183890,2533845,25.538123,26.949178
2183890,2507950,21.304638,24.037195
2183890,2335195,25.671455,33.995886
2183890,2309236,27.308684,28.032501
2183890,2672245,31.131399,35.775736
2183890,2909641,30.938860,32.705830
2183890,2875392,35.419906,40.615313
2183890,2451752,23.741723,26.485684
2183890,2512343,33.160974,37.962061
2183890,2788590,32.946956,33.500505
2183890,2145009,2.883985,4.242916
2183890,2676648,46.363698,51.559482
2183890,2361145,29.554328,40.332009
2183890,2598894,55.207687,57.440838
2183890,2568446,24.254663,26.573485
2183890,2525198,24.929122,27.371000
2183890,2533694,26.785022,30.305473
2183890,2525208,26.279577,27.634803
2183890,2300565,18.307743,20.460019
2183890,2784335,32.359242,32.970620
2183890,2961518,31.266514,33.326780
2183890,2399815,22.973999,28.454127
2183890,2823197,34.886572,38.668373
2183890,2680839,28.658822,34.340179
2183890,2853463,37.928760,39.589359
2183890,2922920,42.997250,47.882396
2183890,2559875,32.252040,35.879573
2183890,2771381,32.538680,31.538286
2183890,2309306,32.798163,38.803955
2183890,2490633,25.592506,27.974692
2183890,2762698,29.554882,31.320571
2183890,2144973,11.391249,13.247458
2183890,2322109,17.013899,19.668836
2183890,2404097,28.797265,34.281630
2183890,2374183,47.840140,43.842153
2183890,2702494,31.083693,36.080211
2183890,2278933,11.974669,12.976622
2183890,2326658,45.937971,46.933389
2183890,2706895,42.505948,46.216665
2183890,3000480,28.796378,33.027961
2183890,2382630,17.902555,20.740021
2183890,2335018,20.162948,27.954983
2183890,2356632,24.996096,31.392074
2183890,2214136,5.145314,4.555858
2183890,2542509,28.760790,25.817853
2183890,2317780,19.302223,19.730246
2183890,2309171,14.884019,15.749721
2183890,2412862,25.672369,24.581242
2183890,2218392,13.731918,18.676841
2183890,2659153,27.432263,29.508283
2183890,2304778,18.856668,26.056110
2183890,2348174,27.642556,37.451002
2183890,2166676,11.597207,19.585174
2183890,2244412,17.411464,20.222664
2183890,2257282,14.067704,19.371982
2183890,2456063,28.183852,27.414895
2183890,2343783,21.179454,23.440521
2183890,2810228,36.140646,36.778408
2183890,2745814,41.945374,49.185095
2183890,2291817,18.343703,25.184059
2183890,2525417,46.078430,43.024611
2183890,2702509,35.151452,39.769081
2183890,3082698,35.942591,41.921898
2183890,2373847,30.702123,36.870081
2183890,2741394,34.988868,39.178217
2183890,3048118,33.258158,37.538638
2183890,2750050,32.478399,37.200291
2183890,2771646,31.637966,36.559395
2183890,2788919,31.134925,35.834471
2183890,2784591,30.632621,35.423729
2183890,2780271,31.270067,35.606489
2183890,2560029,53.644506,51.591554
2183890,2598919,58.779106,55.638904
2183890,2291796,23.048870,30.445414
2183890,2291774,28.404679,36.482228
2183890,2503828,46.983534,43.789010
2183890,2443122,20.139893,23.044271
2183890,2754368,31.944230,36.843124
2183890,2650337,29.394540,30.987386
2183890,2650321,28.991545,31.833366
2183890,2542434,25.331169,26.344485
2183890,2862388,32.432224,37.698339
2183890,2840806,34.041163,39.316919
2183890,2745543,27.398500,29.324574
2183890,2762821,27.697862,29.585130
2183890,2525475,49.779912,46.992293
2183890,2119034,16.043372,18.729484
2183890,2101693,26.893996,32.330418
2183890,2097366,25.476826,33.535274
2183890,2650589,28.486479,34.722723
2183890,2676501,25.515654,30.586962
2183890,2464730,19.710561,22.447314
2183890,2499355,23.404059,25.683790
2183890,2456174,29.579356,33.762306
2183890,2248694,7.503394,10.494013
2183890,2598488,30.398576,30.373634
2183890,2741117,28.084723,30.065077
2183890,2698124,27.641490,32.594590
2183890,2719547,28.234493,28.553761
2183890,2633149,27.029348,28.197765
2183890,2520829,24.628824,26.062703
2183890,2451722,22.922833,24.731931
2183890,2918291,30.625119,32.679407
2183890,2745492,27.829706,29.657491
2183890,2754133,28.229889,29.841923
2183890,2840533,29.736386,31.290747
2183890,2758463,27.841992,30.060637
2183890,2520914,21.710746,23.918989
2183890,2697984,26.729427,28.385684
2183890,2330784,19.304218,18.270939
2183890,2322147,16.692889,18.622398
2183890,2706629,27.035842,29.304131
2183890,2719593,27.539247,29.825015
2183890,2300557,17.699622,18.961435
2183890,2806012,28.700102,30.624184
2183890,2754173,28.505025,30.414706
2183890,2987462,31.164510,33.254407
2183890,2685066,26.491620,29.267987
2183890,3087009,34.977005,40.790195
2183890,2296167,17.645389,23.970123
2183890,2399950,20.202260,22.510103
2183890,2520912,21.508596,24.038235
2183890,2698032,25.724930,28.612407
2183890,2685075,25.322569,28.090386
2183890,2641886,24.216415,27.150195
2183890,2590055,23.819861,26.647880
